mol_pred_loaded,sanitization,inchi_convertible,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,mol_true_loaded,mol_cond_loaded,passes_valence_checks,passes_kekulization,number_bonds,shortest_bond_relative_length,longest_bond_relative_length,number_short_outlier_bonds,number_long_outlier_bonds,number_angles,most_extreme_relative_angle,number_outlier_angles,number_noncov_pairs,shortest_noncovalent_relative_distance,number_clashes,number_valid_bonds,number_valid_angles,number_valid_noncov_pairs,number_aromatic_rings_checked,number_aromatic_rings_pass,aromatic_ring_maximum_distance_from_plane,number_non-aromatic_rings_checked,number_non-aromatic_rings_pass,non-aromatic_ring_maximum_distance_from_plane,number_double_bonds_checked,number_double_bonds_pass,double_bond_maximum_distance_from_plane,ensemble_avg_energy,mol_pred_energy,energy_ratio,relative_deviation,z_value,relative_deviation_passes,z_value_passes,all_cond
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,10,1.019514106771544,1.0498211638056718,0,0,12,1.0262114445901092,0,14,1.141537904981047,0,10,12,14,0,0,,0,0,,0,0,,113.8862667826292,130.7858887136201,1.1483903407181362,0.14839034071813606,21.403219361945325,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,5,0.9870390011737171,1.0205163942673976,0,0,5,1.013185221692649,0,5,1.0527292583238594,0,5,5,5,0,0,,0,0,,0,0,,5.051754916286816,14.580703272991125,2.8862649741742334,1.8862649741742337,18.657094343300958,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.9707813080376363,1.0220137910937424,0,0,11,1.0204176743879652,0,16,0.9814980358453756,0,9,11,16,1,1,0.001802435818004461,0,0,,0,0,,12.46654663495742,23.136094501451073,1.855854325894486,0.8558543258944858,28.52254949541429,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,4,1.0115452072398157,1.0461988264535618,0,0,3,1.036033492356301,0,3,1.3452152361391738,0,4,3,3,0,0,,0,0,,0,0,,6.868538759816026,14.430992480302477,2.1010280330264908,1.1010280330264905,11.246087182238913,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,8,0.9897909604433727,1.0269913160081492,0,0,10,1.026831627843441,0,10,1.0099351995155235,0,8,10,10,1,1,0.005032053207967974,0,0,,0,0,,37.12505230519289,61.12256331443933,1.6463966922381892,0.6463966922381892,1848.0996884156289,True,False,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,8,1.0049750573797382,1.0168637712682052,0,0,10,1.024970227642275,0,10,0.9954029836164127,0,8,10,10,0,0,,0,0,,1,1,0.016031702860269084,31.66840340241215,46.25041707457083,1.460459388711967,0.46045938871196707,48.74238047042451,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,6,0.9989679754678696,1.0371442926789731,0,0,6,0.9988040658652755,0,3,1.0345910899931332,0,6,6,3,0,0,,0,0,,1,1,0.028525450718976244,61.95327418748784,60.911911250431416,0.9831911557425524,-0.016808844257447518,-0.08697875146729088,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.9704919432966586,1.0213460032562427,0,0,11,1.030979100166082,0,16,1.0010725045622746,0,9,11,16,1,1,0.0026052497698623098,0,0,,0,0,,17.665052009818083,26.23536997480713,1.4851566788609363,0.4851566788609362,85703179649.89047,True,False,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,7,0.965267031645897,1.0534003827198188,0,0,9,1.0522204646658884,0,5,1.0342483994238298,0,7,9,5,0,0,,0,0,,1,1,0.0020525697247337146,14.229041976902593,25.670226605465576,1.804072730063976,0.8040727300639761,114411846285.62982,True,False,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.984023670567681,1.020014649973002,0,0,12,1.014471241951385,0,15,1.0234455889062277,0,9,12,15,0,0,,1,1,0.31268052045596423,0,0,,12.329232641328764,24.815926880917242,2.0127714029607886,1.0127714029607884,551.3115473772857,True,False,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.9634089563863181,1.0190746546879343,0,0,11,1.027264939569324,0,16,1.0005378411043548,0,9,11,16,0,0,,5,5,0.28997114755429554,0,0,,10.509086989960126,16.994347680238448,1.6171098113921816,0.6171098113921815,2.538395294454781,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,3,0.994869061857917,1.012045022232098,0,0,2,1.0274911864800396,0,1,1.1762488062306142,0,3,2,1,0,0,,0,0,,0,0,,-0.002496877838534729,1.9984909468657794,-800.3959649217667,-801.3959649217667,20975.560554649142,True,False,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,1.0084336825173104,1.0506166529749814,0,0,10,1.0465274409383538,0,9,1.1152439530249862,0,9,10,9,0,0,,0,0,,0,0,,161.41921357538962,175.7846532716798,1.088994608374677,0.08899460837467714,8694.428700551363,True,False,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.9954817055599199,1.020880972674162,0,0,13,1.0315444264251048,0,14,1.1822805757103896,0,9,13,14,0,0,,0,0,,0,0,,13.974030633262242,19.434570524917465,1.3907634121437773,0.39076341214377736,28.66115722521921,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,7,0.9498074111319741,1.0212553970986273,0,0,7,1.034387827635779,0,14,1.005646987642384,0,7,7,14,0,0,,0,0,,0,0,,9.85998773747858,40.43492915837382,4.1009106943082205,3.10091069430822,48.070079599636266,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,7,0.9693052207541439,1.0180887809166277,0,0,8,1.0200909299628562,0,13,0.9572436126890044,0,7,8,13,0,0,,0,0,,0,0,,14.861716989280021,33.68908500112464,2.2668366666802418,1.2668366666802418,4.367521636180445,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.9638489682861687,1.090047485455097,0,0,14,1.0595715705109119,0,13,1.0281152226843522,0,9,14,13,0,0,,0,0,,0,0,,25.151754815123294,49.73278431139279,1.9773087276395271,0.9773087276395271,150.58109523348367,True,False,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,11,1.007772098376561,1.0326928285069092,0,0,14,1.054077475701426,0,11,1.0946869450217411,0,11,14,11,0,0,,0,0,,0,0,,433.9117733218862,451.9561892917067,1.0415854491148706,0.04158544911487053,5.655815285975165,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.9984380307768199,1.046435173259832,0,0,12,1.041784694499522,0,7,1.2863808724669752,0,9,12,7,0,0,,0,0,,0,0,,80.81054890050368,94.89539722469054,1.1742946745916618,0.17429467459166184,1296.2838168687783,True,False,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,11,0.981726178420588,1.0213076047462657,0,0,16,1.026983661553117,0,28,0.9929843553040111,0,11,16,28,1,1,0.005499757927938236,0,0,,0,0,,15.645821695257668,40.78668629130901,2.606874032296538,1.606874032296538,1745.4001303371897,True,False,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,4,0.979193834370993,1.0113823923897827,0,0,4,1.0204647476310196,0,2,1.0373698169110335,0,4,4,2,0,0,,0,0,,1,1,0.009806096595930338,4.033807121666607,8.052389920143716,1.9962258177621521,0.9962258177621521,33.377756983129046,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,8,1.0057722561456273,1.030563416260177,0,0,10,1.040995013272805,0,3,1.1927319259255282,0,8,10,3,0,0,,0,0,,0,0,,285.42407693687005,302.55274309480006,1.0600112868604232,0.06001128686042321,55.820489865864715,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,10,1.005217593619558,1.04511130421541,0,0,10,1.051199801700386,0,16,1.1086990199755706,0,10,10,16,0,0,,0,0,,0,0,,324.04838601832967,339.38853010032517,1.0473390541162202,0.04733905411622015,10.015689094680763,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.9971283110229828,1.0357538734343918,0,0,11,1.024563381883765,0,16,1.0009880235706856,0,9,11,16,1,1,0.0073404936639855905,0,0,,0,0,,12.206739468780286,23.539398604398446,1.9283936275204647,0.9283936275204646,113326591356.1816,True,False,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,6,0.992915886927749,1.0163811837650991,0,0,6,1.0233601115950957,0,9,1.0481881138982807,0,6,6,9,0,0,,0,0,,0,0,,3.171048336834716,7.198526580966516,2.27007784692174,1.2700778469217398,6.807934212277756,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,6,1.0140286667632226,1.0197369629523119,0,0,6,1.023305847432021,0,9,1.2345705844600965,0,6,6,9,0,0,,0,0,,0,0,,9.290926695596447,10.519193175687432,1.1322006426628184,0.1322006426628183,0.48821441763383105,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,4,0.989781814170713,1.0390456683115468,0,0,4,1.0189241360298993,0,2,1.0689475519774685,0,4,4,2,0,0,,0,0,,0,0,,1.7135599059098068,7.4502009732493,4.347791371375283,3.3477913713752834,75.91055017326309,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,8,0.9754474614029109,1.0711337321559302,0,0,11,1.050630795860267,0,9,1.014560933116268,0,8,11,9,1,1,0.0008691019847546233,0,0,,0,0,,42.47966807191859,64.31358777614821,1.513985176797157,0.513985176797157,70124.73673152599,True,False,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,6,0.9979103609296276,1.0190036613031308,0,0,6,1.017613107057305,0,9,1.0413921086121083,0,6,6,9,0,0,,0,0,,0,0,,6.2584446780027285,8.678025253963334,1.3866105239317656,0.38661052393176565,9.166962043103423,True,True,True
True,True,True,True,True,True,True,True,True,True,,False,False,True,True,11,1.001409143072059,1.048494134237094,0,0,14,1.0453694682510182,0,11,1.139908547174542,0,11,14,11,0,0,,0,0,,0,0,,,380.86794773492795,,,,,,True
