mol_pred_loaded,sanitization,inchi_convertible,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,mol_true_loaded,mol_cond_loaded,passes_valence_checks,passes_kekulization,number_bonds,shortest_bond_relative_length,longest_bond_relative_length,number_short_outlier_bonds,number_long_outlier_bonds,number_angles,most_extreme_relative_angle,number_outlier_angles,number_noncov_pairs,shortest_noncovalent_relative_distance,number_clashes,number_valid_bonds,number_valid_angles,number_valid_noncov_pairs,number_aromatic_rings_checked,number_aromatic_rings_pass,aromatic_ring_maximum_distance_from_plane,number_non-aromatic_rings_checked,number_non-aromatic_rings_pass,non-aromatic_ring_maximum_distance_from_plane,number_double_bonds_checked,number_double_bonds_pass,double_bond_maximum_distance_from_plane,ensemble_avg_energy,mol_pred_energy,energy_ratio,relative_deviation,z_value,relative_deviation_passes,z_value_passes,all_cond
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,2,1.0183015125083865,1.0152588912978904,0,0,1,0.9862447149146712,0,0,,0,2,1,0,0,0,,0,0,,0,0,,1.3980652851316784,2.719062527250205,1.9448752187521106,0.9448752187521107,28.847995262224313,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,4,1.0175250621556835,1.02021803114442,0,0,4,1.006982124706666,0,2,1.1711093909757462,0,4,4,2,0,0,,0,0,,0,0,,4.578460545249059,5.879151380047236,1.2840891216476393,0.2840891216476393,11.508086840981708,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,10,1.00644679743798,1.036468003546219,0,0,12,1.0698865333755236,0,14,1.106314468648945,0,10,12,14,0,0,,0,0,,0,0,,152.9299475262247,166.7596392603849,1.0904315469786494,0.09043154697864941,1992.4901571889623,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,7,0.9711832055848567,1.0239882454530793,0,0,8,1.0337995017833157,0,6,0.9641121716766036,0,7,8,6,0,0,,0,0,,0,0,,21.246596893247666,29.956130343980337,1.4099260457800953,0.40992604578009517,547.4499580192594,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,10,1.0253634062774644,1.0306607078888952,0,0,11,1.043730154132685,0,7,1.1329967242234522,0,10,11,7,0,0,,0,0,,0,0,,234.90901106113287,250.70647410262808,1.0672492850322548,0.06724928503225475,16110.916798729166,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,6,0.980320221653877,1.0318172681103561,0,0,6,1.0697347998923643,0,3,1.2363921512665863,0,6,6,3,0,0,,1,1,0.34208686515291375,0,0,,15.00255667396778,19.804898228627163,1.3201015439583266,0.32010154395832663,0.2470547561010393,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,8,0.9739489523767674,1.033324260715049,0,0,10,1.0612468041191419,0,10,1.0054909444125575,0,8,10,10,0,0,,0,0,,1,1,0.01160468013758103,14.352227140840009,23.409108978273125,1.6310436525674323,0.6310436525674323,288.25733729731627,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,11,0.9968283954620876,1.0314414823066824,0,0,13,1.0676798135082577,0,12,1.0642969711814971,0,11,13,12,0,0,,0,0,,0,0,,431.8182623332508,450.47421114864204,1.043203241832773,0.043203241832772986,136.21199640349897,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,8,0.9762075547743951,1.0443257875032852,0,0,8,1.024233075950469,0,12,0.9903095313010328,0,8,8,12,0,0,,0,0,,0,0,,347.4369864676951,364.34656867639654,1.0486694936558625,0.048669493655862484,1.1264125621580257,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,11,0.9945264268359489,1.0342898387110437,0,0,16,1.0408736382673582,0,9,1.157205560509649,0,11,16,9,0,0,,0,0,,0,0,,131.72645300602255,159.76967265946632,1.2128898107668749,0.21288981076687483,280432196534.4377,1.0,0.0,True
